,mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std
70,219016555,Passenger ship,98,18,819.0,1984558.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
71,266456000,Passenger ship,214,30,0.0,1455206.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
72,219016938,Passenger ship,98,18,213.0,1479414.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
73,266343000,Passenger ship,243,30,325.0,707895.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
74,211226940,Passenger ship,25,8,325.0,389849.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
75,259222000,Passenger ship,224,36,179.0,634744.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
76,211228840,Passenger ship,24,6,96.0,47377.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
77,219019287,Fishing ship,17,6,17.0,32173.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
78,211224970,Passenger ship,24,7,206.0,174634.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
79,211477000,Fishing ship,17,5,8.0,81951.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
80,247312900,Passenger ship,253,38,48.0,94252.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
81,211226220,Passenger ship,24,6,83.0,161786.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
82,211303110,Passenger ship,26,5,298.0,705239.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
83,211392510,Passenger ship,26,8,97.0,43042.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
84,277408000,Passenger ship,199,26,584.0,1200867.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
85,211130870,Passenger ship,40,9,147.0,35991.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
86,219014219,Support ship,14,4,2207.0,666932.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
87,211400000,Fishing ship,15,6,823.0,187671.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
88,219012671,Fishing ship,17,6,,14960.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
89,230987000,Passenger ship,219,31,,583422.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
90,211805140,Support ship,26,9,210.0,164146.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
91,211626110,Support ship,30,10,31.0,78950.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
92,232017797,Passenger ship,62,19,4.0,22827.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
93,211261090,Support ship,16,6,8.0,3401.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
94,219777000,Support ship,40,12,272.0,229821.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
95,212499000,Passenger ship,179,28,197.0,792750.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
96,219000776,Passenger ship,171,20,,701674.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
97,277291000,Passenger ship,154,24,49.0,119363.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
98,266331000,Passenger ship,240,29,167.0,722997.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
99,257182000,Passenger ship,224,36,170.0,557897.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
100,211229400,Passenger ship,24,6,109.0,262508.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
101,211226990,Passenger ship,38,7,4.0,1859.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
102,261000310,Support ship,32,9,7.0,105567.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
103,244153000,Support ship,26,8,0.0,6626.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
104,219001647,Support ship,36,8,499.0,252720.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
105,230982000,Passenger ship,219,31,0.0,562204.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
106,220466000,Support ship,20,7,11.0,59643.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
107,246774000,Support ship,30,10,2.0,55980.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
108,219006328,Fishing ship,6,4,17.0,99660.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
109,231336000,Support ship,50,9,35.0,117240.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
110,219002339,Fishing ship,15,5,46.0,33779.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
111,211324790,Passenger ship,52,11,103.0,57030.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
112,220000057,Fishing ship,10,4,53.0,37886.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
113,245039000,Support ship,31,11,0.0,5959.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
114,211266430,Support ship,20,6,21.0,12506.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
115,261195000,Support ship,28,8,11.0,149731.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
116,248849000,Support ship,52,15,,5686.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
117,246389000,Support ship,15,5,5.0,10568.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
118,211271330,Fishing ship,24,7,47.0,35864.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
