length_from_data_set,width,iwrap_type_from_dataset,mean_speed,top_speed,std_speed,Speed_mode,Speed_median,ROT_mean,ROT_max,ROT_median,ROT_min,ROT_mode
137,22,General cargo ship,12.224003014507316,17.5,5.03568827375108,15,14.8,-0.0006971048169314343,42.9,-1.0,-48.6,2.0
183,32,Oil products tanker,10.976692366347539,14.2,1.8142765955957216,12,11.2,0.17487079556045074,21.6,1.0,-21.6,1.0
89,13,General cargo ship,9.805140568556617,12.9,1.8198312446580365,10,10.2,-0.015674572011936533,82.5,-1.0,-71.4,-1.0
117,18,Oil products tanker,12.26656806894537,15.3,2.2664593818998684,13,12.7,-0.027415035543869933,64.5,-1.0,-42.9,-1.0
189,28,General cargo ship,12.669942275975812,14.6,1.0514278542771984,13,12.8,0.473996701484332,37.5,1.0,-27.9,2.0
180,30,General cargo ship,11.343775482468065,13.0,0.8753779289923571,11,11.1,0.010505572166349543,27.9,1.0,-30.2,1.0
176,31,Oil products tanker,10.310631885776397,14.3,3.8784267776603656,12,11.7,0.3939528679413072,48.6,1.0,-30.2,-2.0
100,17,General cargo ship,7.8385945008008555,70.4,3.793950358211844,10,9.4,2.6695141484249868e-05,0.4,0.0,0.0,0.0
104,17,Oil products tanker,10.58290520694259,15.5,4.559950720765452,12,12.2,0.15967957276368494,57.9,1.0,-48.6,-4.0
244,42,Oil products tanker,11.469638178857188,14.0,1.62892137623554,12,11.9,0.0822346526941868,27.9,-1.0,-25.7,-1.0
138,20,General cargo ship,12.529979405707559,13.7,1.1824266379514872,13,12.8,0.041953515739923584,25.7,1.0,-32.5,1.0
99,16,General cargo ship,12.04696961981956,25.7,3.091892215741176,13,12.9,-0.01241222243309926,78.7,-1.0,-330.2,1.0
195,32,General cargo ship,15.611205151397682,19.4,1.7438034768288135,16,15.8,-0.012533380712409014,37.5,-1.0,-45.7,1.0
180,28,General cargo ship,11.439601426090135,13.4,1.0639423690315108,12,11.5,0.19243075235396287,45.7,-1.0,-45.7,-2.0
141,17,Oil products tanker,9.241482256185973,11.7,1.61245659983278,10,9.5,0.0010125739820779286,45.7,-1.0,-40.2,4.0
178,28,General cargo ship,15.594864525434899,22.8,2.5665325381627166,15,15.1,0.02709739993285335,48.6,-1.0,-57.9,-2.0
158,24,General cargo ship,13.27993745325991,18.6,4.034155411480684,15,14.8,-0.04043918689237881,64.5,-1.0,-71.4,-2.0
148,25,General cargo ship,15.586992572685672,21.0,4.247475550812588,18,17.1,-0.020889475171958924,51.6,1.0,-61.1,1.0
183,32,Oil products tanker,11.61214007993692,14.4,1.7346352404559982,12,12.1,0.09965469425487376,37.5,-1.0,-57.9,-2.0
124,17,Oil products tanker,10.0669449007681,16.8,4.89397944730338,12,12.3,-0.06047595790969235,86.4,-1.0,-78.7,-4.0
90,15,General cargo ship,10.977378495027207,12.5,1.0586584943023467,11,11.1,-0.09158378682679684,75.0,1.0,-71.4,4.0
89,12,General cargo ship,8.270081463990554,12.9,1.8261628350778527,9,8.7,-0.06147697756788662,171.6,1.0,-140.0,2.0
152,22,General cargo ship,12.817344907749364,51.2,4.192317925312011,16,14.0,1.55500439288741e-06,0.4,0.0,0.0,0.0
229,32,General cargo ship,11.009725212105863,13.2,1.50182231013851,12,11.2,0.3884386475876915,40.2,1.0,-25.7,-1.0
195,33,General cargo ship,15.793035579482698,20.1,1.6641606338211874,16,15.9,0.014623644165441615,57.9,-1.0,-45.7,-1.0
244,42,Oil products tanker,9.604911810672023,11.9,1.3269707078634927,10,9.8,0.15742353203840145,17.9,1.0,-11.4,1.0
183,31,General cargo ship,12.34026186579378,14.0,0.7425191770328939,12,12.2,0.1860017329354,42.9,1.0,-40.2,-1.0
225,32,General cargo ship,10.35954694795089,12.8,1.1571347296203405,10,10.5,0.006321978212000692,182.8,183.0,0.0,183.0
170,27,General cargo ship,13.236728470835054,18.9,4.355263594449701,15,14.9,-0.01054474339087834,57.9,-1.0,-64.5,-1.0
169,27,General cargo ship,11.770328102710414,12.9,0.5470275955224695,12,11.6,0.3219686162624822,37.5,1.0,-25.7,2.0
88,13,General cargo ship,9.404611423220974,12.0,1.769465513470694,10,9.9,0.00697045359966704,78.7,-1.0,-78.7,-1.0
254,43,General cargo ship,10.042497670083877,11.9,1.689141225477083,11,10.8,0.17420006213109662,17.9,1.0,-14.5,-1.0
141,22,Oil products tanker,11.841738237490663,15.4,1.3712390008893816,12,11.7,-0.40634443040156265,54.7,-1.0,-57.9,-2.0
83,13,General cargo ship,9.467279929723368,12.3,1.989814645208221,10,10.0,-0.08678335239421213,130.2,-1.0,-160.7,-1.0
180,32,Oil products tanker,11.680754716981133,14.6,2.7324268944885257,14,12.4,0.20978559176672384,30.2,1.0,-27.9,-2.0
88,12,General cargo ship,7.17139273381932,12.9,4.112991366456648,0,8.5,0.14991883835551753,98.6,1.0,-107.2,4.0
274,48,Oil products tanker,10.535113421550092,13.0,1.7759203821866971,12,11.3,0.4789461247637051,19.7,1.0,-11.4,-1.0
169,26,General cargo ship,15.297561410283064,18.9,2.743324539245205,16,15.8,0.17561410283066506,75.0,1.0,-51.6,1.0
88,12,General cargo ship,7.404823134386631,13.9,3.2335141507986247,9,8.6,-0.05574780707462454,98.6,1.0,-107.2,3.0
225,32,General cargo ship,11.589905277401893,14.0,1.709345038103791,12,12.0,0.21653585926928284,23.6,1.0,-17.9,1.0
138,22,General cargo ship,12.886225388186329,17.8,4.664596948437423,17,14.5,-0.2167840563470466,166.1,1.0,-160.7,-3.0
106,16,General cargo ship,8.545159712805923,11.0,1.8478081613840125,9,8.8,0.02183741969902416,71.4,1.0,-71.4,1.0
